id,timestamp,token,manual,time,lines,views,category
j5PyvKWUIyI,1370.4,4:40pm,true,4:40pm,"We are single||On October 18, 1970 at 4:40pm , before receiving communion,||Cong",622509,24
1T-cDyIGhyE,277.8,4:40pm,true,4:40pm,"minds occupied||At exactly 4:30 pm, they started to let those who have a 4:40pm schedule enter the store||At the end of the line, they will scan your QR",110833,19
QrHbE97XCxQ,376.5,4:40pm,true,4:40pm,So I will have it hot||So I have this around 4:40pm or 5pm||and then we will move onto the next thing that I have,93675,22
E701Q2iIVKE,17.1,4:40pm,true,4:40pm,He passed after being moved to the hospital||Police began searching for the idol group member after getting a phone call at around||4:40pm from his sister,55743,25
zswSWkvoMuc,23.4,4:40PM,true,4:40pm,"but here's what we do know||Just before 4:40PM ,||the driver of a red S U V",54414,25
Ck-TWprVodI,137.4,4:40pm,true,4:40pm,"I’m not sure where car C is though||Boarding commenced at 4:40pm , approximately 25mins before departure||I booked an economy class seat in Car B",81569,19
-YajdHqbxIY,239.1,4 40pm,false,4:40pm,today 8th of march this 8th of march by||4 40pm we're making this live video||right now,14171,22
MyeMnJABCeg,1508.6,4:40 PM,true,4:40pm,"Saturday, March 25th, 1911,||it's around 4:40 PM||People are ending their workday, ready to clock out",1997247,24
MyeMnJABCeg,2096.2,4:40 PM,true,4:40pm,"rewind, bop, bop, bop, bop, bop,||when the fire was just starting out at around 4:40 PM So many were gathering outside||when people heard the building alarms going off",1997247,24
ktyGGjDThsc,477.9,4:40 PM,true,4:40pm,In front||2nd jan 2018 4:40 PM in the evening||from now onwards we will start our hardcore training,1384541,22
d2_N3z_qtp8,407.9,4:40 PM,true,4:40pm,Holly set off with a planned pickup arranged||at 4:40 PM later the same day||Courtier would miss that pickup,401734,24
d2_N3z_qtp8,1124.6,4:40 PM,true,4:40pm,"1:30 PM the day she disappeared||and was scheduled to be picked up at 4:40 PM that same day||In her interview with Today,",401734,24
bcvD1uWWUB4,185.5,4:40 pm,true,4:40pm,"the aftermath of a shooting on the I-20||At around 4:40 pm , an unspecified road rage incident had||occurred between the 30-year-old and the driver",273411,24
6aFcsX4yUb4,1066.4,4:40 pm,true,4:40pm,I'm currently in the GMT-00 time zone||The current time here is 4:40 pm and in India it might be 10:30 pm||It's a bright day here,256501,19
4shxipJfhtU,663.9,4:40 pm,true,4:40pm,"search of the lost woman||At about 4:40 pm ,||rescuers located Tramonte’s body in the backyard",217714,24
N-smQQqmOY4,327.8,4 40 PM,true,4:40pm,"Let's go do that||All right, let's say it's 4 40 PM||Let's see how long this takes",152258,20
Cd54SbTpVl4,672.6,4:40 pm,true,4:40pm,"the following year||At approximately 4:40 pm ,||on November the 21st of 2021, an SUV driven",127452,24
mbg8AQoVLx4,63.3,4 40 PM,true,4:40pm,the annual holiday parade around||4 40 PM That's when||Police,117514,25
S2lJV_iCbY8,566.3,4:40 pm,true,4:40pm,township||His spree had started at around 4:40 pm but the identities of his four victims weren’t||released,120645,24
MP5qn1fNfek,86.2,4:40 PM,true,4:40pm,"March 25th, 1911 was a typical work day||until 4:40 PM that afternoon||Located in what was known at the time as the Asch Building,",105690,22
ELktZliY_cE,92.6,4:40 PM,true,4:40pm,"and fled S on College Street||At 4:40 PM ,||officers responded to a shooting",62089,25
JEZHvUo3igk,9.2,4:40 pm,true,4:40pm,Karsten Warholm is running at 4:40 pm That will be the race for the King's Cup||Kongepokalen||Let's see if,56024,17
xZe3rsJ0g9w,17.3,4:40 pm,true,4:40pm,in miui 9 devices efiiciently by following some steps||so as of now it's 4:40 pm afternoon||and after heavy usage my device battery just ran out around,31821,28
P5nvKEFh0vw,10.8,4:40 pm,true,4:40pm,16||around 4:40 pm It showed an officer punching a||woman multiple times during an arrest at,18332,25
ByZaZ8ws30w,101.5,4 40 PM,true,4:40pm,and was waiting for the||car at the dealership for almost six hours at around 4 40 PM I've got a call my Toyota||was ready for pickup and what a surprise,10582,2
lEOgKams0jg,145.1,4 40 pm,false,4:40pm,its destination is kali colombia||flight 965 is scheduled to leave at 4 40 pm but has already been delayed for 30||minutes at the gate to allow for,5778371,24
