id,timestamp,token,manual,time,lines,views,category
1ApfDyeP7Zk,1038.1,4 40 pm,false,4:40pm,support for the humvees below||at 4 40 pm durant's blackhawk takes an||rpg hit to the tail section,4541331,27
j3kUmca5sLw,69.4,4 40 pm,false,4:40pm,up their entire day spanning from 8 am||until 4 40 pm with just a few short||breaks in between,1215759,27
GEbn3nHyKnA,160.2,4 40 PM,false,4:40pm,this leaked data could also be accessed||through Google's cache 4 40 PM now this||was serious business everyone,1422157,28
Bz07tgR1qHk,159.6,4 40 pm,false,4:40pm,after and take me to the pediatrician||at 4 40 pm i call my mom saying that||something is seriously wrong with me,724253,23
b5KFKLiQesU,285.5,4 40 PM,false,4:40pm,foreign||on December 30th 2018 at 4 40 PM a young||teenager by the nickname too hot real,846318,24
b5KFKLiQesU,294.5,4 40 PM,false,4:40pm,a||sidewalk at 4 40 PM in the 5500 block of||West Monroe Street when a green SUV,846318,24
HqnCtW6KAnI,35.3,4 40 PM,false,4:40pm,to go eat with some friends and 40||minutes later at 4 40 PM I got an email||stating that the part 2 to this Iceberg,513111,24
d2_N3z_qtp8,1126.3,4 40 pm,false,4:40pm,scheduled to be picked up||at 4 40 pm that same day||in her interview with today strong,401734,24
xnBvro8snZk,160.3,4 40 PM,false,4:40pm,was about to break loose and then at||around 4 40 PM it did||the supercell produced a wedge tornado,450049,27
cAoMkL5wUCo,19,4 40 pm,false,4:40pm,red ford escape broke through barriers||in waukesha wisconsin around 4 40 pm as||the parade was taking place drove at,324999,25
rKtmVk0Ou_8,495.9,4 40 pm,false,4:40pm,six minutes||at 4 40 pm he gets out of the van and||stands in his front yard waiting for the,320939,24
A8Hw_bEOd2E,1540.3,4 40 PM,false,4:40pm,was being held with a large number in||attendance at around 4 40 PM that||evening a red Ford Escape an SUV being,330710,24
bcvD1uWWUB4,186.3,4 40 PM,false,4:40pm,Douglasville police in the aftermath of||a shooting on the I-20 at around 4 40 PM an unspecified road rage incident had||occurred between the 30 year old and the,273411,24
OAqj6JpC_0k,362.4,4 40 pm,false,4:40pm,wisconsin when a car broke through the||barriers at 4 40 pm and hit crowds at||least 12 children are among the injured,268314,24
PTmhrOhZ6VA,151.9,4 40 PM,false,4:40pm,airport records confirmed the navy blue||fear of Bradley roller bag arrived at 4 40 PM but was missing from the carousel||so law enforcement reviewed video,199369,25
2ieuQImpzkc,191.6,4 40 PM,false,4:40pm,records confirmed the navy blue Vera||Bradley roller bag arrived at 4 40 PM but was missing from the carousel so law||enforcement reviewed video surveillance,188569,25
ZLJShSGcpk8,101.8,4 40 PM,false,4:40pm,he is involved in this new update from||November 18th at 4 40 PM police||mentioned Kaylee and Madison were seen,182570,27
gXbXSyO9Nrg,618.7,4 40 PM,false,4:40pm,the incident uh at around 4 30 p m||between 4 30 and 4 40 PM Pakistan time||roughly about two hours back uh one and,175486,25
Z9xpV-yE_UY,150.4,4 40 PM,false,4:40pm,begin to sink in shortly after at around||4 40 PM in the area of Norris Road and||Interstate 240 Ezekiel crossed paths,172224,27
VvPt9l7XqtA,178.7,4 40 PM,false,4:40pm,in before the event starts||you can also join in progress until 4 40 PM Eastern now this is weird this is||very weird to me okay so let's,168073,20
bq0L0MMzjAo,541.2,4 40 pm,false,4:40pm,the lapels the first flame was seen||at 4 40 pm and within seconds the fire||had grown into an inferno there were,147825,27
eq7oBpq0nZ8,242.4,4 40 PM,false,4:40pm,this live event is that you can join in||progress until 4 40 PM eastern time that||is 40 minutes after the live event,127270,20
hArle7L0sHE,877.6,4 40 pm,false,4:40pm,I arrived at the College of Winterhold||at 4 40 pm and for all to Grants me||access after a brief test after that,122571,20
4yHbO640XhA,365.4,4 40 pm,false,4:40pm,other stricken vessels||at 4 40 pm that afternoon the vessel||near the front of the pack that had worn,119835,24
S2lJV_iCbY8,568,4 40 PM,false,4:40pm,the Nutley Township his spree had||started at around 4 40 PM but the||identities of his four victims weren't,120645,24
MP5qn1fNfek,86.1,4 40 pm,false,4:40pm,march 25th 1911 was a typical work day||until 4 40 pm that afternoon||located in what was known at the time as,105690,22
i5D2LA-Llyc,798.6,4 40 pm,false,4:40pm,vaporized and burned the control venting||began about 4 40 pm on Friday February||on February 6,90617,28
EcxFXK75VZA,146.7,4 40 pm,false,4:40pm,ocharius bypass in the vicinity||of the boat gas station about 4 40 pm the male passenger that was sitting on||the front passenger seat told the driver,80081,25
fW9wI4sK-kA,235.7,4 40 pm,false,4:40pm,pediatrician||so at 4 40 pm i call my entitled mum||saying that something is seriously wrong,79650,24
AhkQyxKxDsI,303.6,4:40 p m,true,4:40pm,"beach, and oh there we go hey number one took||It's a Sunday at 4:40 p m Nice||Oh",2211981,20
V5w5AzQ4d1U,62,4:40 p m,true,4:40pm,"son||Josey was found wearing a life vest when authorities arrived at the scene around 4:40 p m , however,||authorities presumed Naya was not as an adult-sized one was found on the",510103,24
8dR8Sh-ysbo,65.6,4:40 P M,true,4:40pm,HAPPENED ON WEDNESDAY AROUND||4:40 P M||THE VICTIM REFUSED TO,452362,25
ORUEaojoR7c,137.7,4:40 p m,true,4:40pm,"the 2100 block of South 25th Street,||that's in the Layton Park neighborhood, about 4:40 p m on October 10th||They said a 62 year old man detained a 24 year old",381714,25
zOEze9SbDxc,1908.3,4:40 p m,true,4:40pm,"Daniel Hokanson spoke with the head of the Virginia National Guard||At 4:40 p m , McCarthy||spoke with Maryland Governor Larry Hogan",314345,25
5kEbeN6DlMQ,886.8,4:40 p m,true,4:40pm,You see that lot||4:40 p m Nothing's going on||And at this point you've got a clear sky and,267820,28
1j_0P6-cX2A,5.3,4:40 P M,true,4:40pm,TOM FOREMAN REPORTS||>> Reporter: AT 4:40 P M THE||FIRST CALL CAME IN,171924,25
18d2eocYP9Y,744.5,4:40 p m,true,4:40pm,on a bench in the entrance the office of the registrar between 4:00 and 4:40 p m People noted him sitting there as he was sitting in such a way that actually,86237,26
zY1UHj_NJFA,218,4:40 p m,true,4:40pm,"Daniel Hokanson spoke with the head of the Virginia National Guard||At 4:40 p m , McCarthy||spoke with Maryland Governor Larry Hogan",63121,25
DL5c5Fz34Dg,96.5,4:40 P M,true,4:40pm,"BAY RESIDENT||AT 4:40 P M , HE WAS LOCATED IN||HIS VEHICLE IN THE PARKING LOT",51048,25
_PsY0sc4S9Y,586.5,4:40 p m,true,4:40pm,Lena comes home by 3:15 p m||Harley comes home by 4:40 p m but how do you||keep track of time that day buy your Apple watch because,49456,22
nsgUtPnBz3o,829.1,4:40 p m,true,4:40pm,"and Federal Boulevard on a hold-up alert||at 4:40 p m||on October 11th, 2011",53718,27
rikdcXvK6k0,35.9,4:40 p m,true,4:40pm,"Reporter||At about 4:40 p m||and hit Dunrobin,",44182,25
o0Qk_0Agi6c,1304.4,4:40 p m,true,4:40pm,THAT HALF A DEGREE MATTERS||>> AT 4:40 p m||IT HIT,24410,25
J3Gw7XSKhPA,90.2,4:40 p m,true,4:40pm,YEAR||AT ABOUT 4:40 p m IT HIT||DUNROBIN,20427,25
aJm_-HaoQUk,14.6,4:40 P-M,true,4:40pm,EXIT||OFFICERS SAY AROUND 4:40 P-M --||THE VICTIMS,18746,25
at0pA7N0gfk,466.1,4 40 p m,true,4:40pm,Thursday at 4 45 p m and||I'm landing in Utah at Thursday at 4 40 p m so I||was like a whole day back I get five five extra,20373,22
_eOvnIxi1js,56.9,4:40 P M,true,4:40pm,"REPORTER: CHP SAYS AROUND 440||TUESDAY AFTERNOON -- 4:40 P M||TUESDAY AFTERNOON, DRIVERS",23072,25
6PLvOromB9c,37.5,4 40 p m,true,4:40pm,out video but of course this is sally on the radar||right now around 4 40 p m eastern daylight savings time and you can see||still the florida panhandle areas in here,10055,28
zWuryokVow8,604.8,4:40 p m,false,4:40pm,I'm into the doors you guys you have to||hurry up it's 4:40 p m already there's||like no space left you have to hurry,41540499,20
VLe7ZlZJQ-8,575.7,4:40 p m,false,4:40pm,I'm into the dorms you guys you have to||hurry up it's 4:40 p m already there's||like no space left you have to hurry,5144898,20
WshhNq2ojxY,196.8,4:40 p m,false,4:40pm,now just have to keep waiting until it's||time now the time is 4:40 p m 18 hours||passed by and still in labor totally,4379438,26
Q8RXxvylwSs,1089.6,4:40 p m,false,4:40pm,my husband so that he knows I'm still at||school at 4:40 p m SLT is on the phone||to social services / procedure we called,2600847,22
MyeMnJABCeg,2098.2,4 40 p m,false,4:40pm,when the fire was just starting out at||around 4 40 p m so many were gathering||outside when people heard the building,1997247,24
HKAX9lNYc-o,781.4,4 40 p m,false,4:40pm,not speak||to governor hogan until 4 40 p m that||was more than,1694673,25
t50KMzv0ApI,175.6,4:40 p m,false,4:40pm,p m||our flight leaves at 4:40 p m or||one hour you guys know how it goes,1623704,22
7vIa_71hpGk,623.7,4:40 p m,false,4:40pm,outside of the local jail the original||interaction began at approximately 4:40 p m and documents acquired from the||city clerk state that he was released,1522174,27
7eQ52awvnNs,184.7,4:40 p m,false,4:40pm,first giant double helix shortly before||4:40 p m when it began to climb out of||the first part of the helix 3 Ledger,1287703,24
i26IosBkS7Y,1120.8,4:40 p m,false,4:40pm,GTO Chandra haha the next clearance is||due at 4:40 p m ugly duck sham char Botticelli's minute||panic leggy what are the charges for,1106584,22
zi9vwarGw4U,525.7,4:40 p m,false,4:40pm,on him what's Mario doing||really he's sleeping it's 4:40 p m but||why is he sleeping oh well you just get,1028915,24
blkzFE1gZL8,1752.3,4 40 p m,false,4:40pm,later||at 4 40 p m in the months following||their deaths lisa snyder created a,973467,24
XazANPCQ4UI,1874.2,4 40 p m,false,4:40pm,is now||4 40 p m and once again||you're back hey guys,872272,10
Q1oIB-aS3r8,1150.5,4 40 p m,false,4:40pm,dragon||slayed so today is 10 11 2019 and it's 4 40 p m est perfect you did it guys||all right beautiful so let's go check,864711,20
dVhj9Lc3hLg,129.1,4 40 p m,false,4:40pm,pm Eastern but the playlist lets you||actually join in progress until 4 40 p m that's a whole 40 minutes and people are||thinking that the event is going,839037,20
-j9jbUSRUPQ,2422.6,4 40 p m,false,4:40pm,a safe stop||4 40 p m the tropicana juice train||arrives at baldwin florida,800354,19
fo8PEjBPlW4,53.4,4 40 p m,false,4:40pm,oh it's too deep for this hour of the||morning yeah it's only 4 40 p m i i'm||not ready for that kind of statement oh,790818,20
UXkV8AubjdY,1487.5,4:40 p m,false,4:40pm,and it's really dark hope you can see I||mean it's like 4:40 p m here but it||gets dark really early in the winter,685327,26
XfOI9-c7moM,952,4 40 p m,false,4:40pm,i cannot confirm or deny this was||tweeted at 4 40 p m local time i think||yes my time uk time not local time,591588,17
H-lFLyTsSTc,1840,4:40 p m,false,4:40pm,room on to 21 okay so let's see this||miles Edgeworth came in at 4:40 p m eight seven three zero five seven nine||Mike Meekins came in at 4:50 the,591742,20
ZsDhlgzmKPI,513.4,4 40 p m,false,4:40pm,oh sorry in the face it's 5 00 p m is it||4 40 4 40 p m Max had his coffee I'm the||one who's a wrecking ball of energy,627383,22
7hv2hTUfc5s,138,4:40 p m,false,4:40pm,was the iPhone six-plus from last year||at 4:40 p m now the first time that I||ran this test the iPhone 6 plus one but,526630,28
V5w5AzQ4d1U,65.3,4:40 p m,false,4:40pm,authorities arrived at the scene around||4:40 p m however authorities presume||Naya was not as an adult-sized when it,510103,24
Jb272fz2et8,506.4,4:40 p m,false,4:40pm,ready to do an at-home workout it is||4:40 p m said I wanted to work out||today so I'm doing it you don't,491953,22
KpxqNZUWSg0,3013.2,4:40 p m,false,4:40pm,place before that time then it would be||4:40 p m ah ah miles Edgeworth just||what are you done I never would have,557863,20
aptvDqvt5M4,77.4,4:40 p m,false,4:40pm,the present method recorded according||yes rye on May 16 2012 proximately 4:40 p m a bunch identify yourself for the||record by guitar I'm trooper Jason,480735,22
49vWJuqhbJs,1020.2,4:40 p m,false,4:40pm,alright I'm staring rated o'clock and||it's officially 4:40 p m we did all of||this all one two three was it four major,483473,26
8dR8Sh-ysbo,59,4 40 p m,false,4:40pm,photographer's cameras happened on||Wednesday around 4 40 p m the victim||refused to give up his camera back the,452362,25
Sqybnysh0tM,354.7,4:40 p m,false,4:40pm,and later he eventually showed up at||4:40 p m and we closed at 5:00 p m||Lowell C comment above about secretly,493768,23
XujCFBtE9sQ,126.9,4 40 p m,false,4:40pm,its destination is kali colombia||flight 965 is scheduled to leave at 4 40 p m but has already been delayed for 30||minutes at the gate to allow for,461586,24
3b4ku-GEAhQ,181.6,4 40 p m,false,4:40pm,southwest is scheduled to depart at 3 55||p m and arrive at 4 40 p m local time||with a time of travel of one hour 45,426288,2
eTsz4F5UPzs,9.7,4:40 p m,false,4:40pm,200 similar to this one it took off from||Kuala Lumpur Airport just after 4:40 p m UK time on Friday it was expected||to land in Beijing at 10:30 last,400340,22
8ti3wv4kCt0,227.7,4:40 p m,false,4:40pm,this one okay||the flight leaves at fort 4:40 p m one||stop in Dallas for almost 1 hour and 20,410081,23
iT-DgGF17bM,589.5,4 40 P M,false,4:40pm,that's what they wanted to focus on on||December 20th 2020 from 4 40 P M to 4 51||p m Lamont Ontario exchanged the,408304,25
F5aFHtaBs2c,69.5,4 40 p m,false,4:40pm,Half Moon Bay resident||at 4 40 p m Zao was located in his||vehicle in the parking lot of the,361044,25
EMTEKNLAwzI,284.4,4:40 p m,false,4:40pm,already noted here that on June 9 at||4:40 p m presumably after that meeting||truck tweets for the first time about,359793,25
